Epochs,Batch_Size,Accuracy,Loss
100,256,0.8504,0.3848
100,128,0.8408,0.4266
100,128,0.852,0.3889
100,64,0.8432,0.4208
100,512,0.8528,0.385
100,512,0.8704,0.3868
100,512,0.8456,0.4044
100,512,0.8352,0.4134
100,512,0.824,0.4246
100,512,0.7648,0.5802
100,512,0.8056,0.4906
100,512,0.82,0.5051
100,512,0.84,0.4407
100,512,0.8528,0.3741
100,512,0.8696,0.3518
100,512,0.2128,4.0669
100,512,0.8176,0.4377
100,512,0.8272,0.4097
100,256,0.8504,0.3745
100,256,0.8496,0.3899
100,512,0.8472,0.4038
120,256,0.8376,0.3864
120,512,0.8168,0.4327
100,32,0.772,0.5839
100,64,0.736,0.6467
100,64,0.8424,0.4314
100,128,0.8472,0.4234
100,256,0.844,0.4065
100,128,0.8504,0.409
100,128,0.804,0.5248
100,128,0.8384,0.4117
100,128,0.8072,0.4938
100,128,0.2,1.6432
100,128,0.7984,0.4936
100,256,0.828,0.4104
100,256,0.8152,0.506
100,256,0.2,1.6688
100,256,0.8368,0.4068
100,256,0.848,0.4051
100,256,0.8296,0.4367
100,256,0.8496,0.4094
100,256,0.8384,0.44
100,256,0.8296,0.4288
100,256,0.8472,0.4182
100,256,0.832,0.4732
100,256,0.824,0.4412
100,256,0.852,0.4206
100,128,0.8176,0.4735
100,128,0.8208,0.4501
100,128,0.8264,0.4558
100,128,0.8152,0.4852
100,64,0.8448,0.4248
100,64,0.8272,0.4483
100,64,0.8032,0.4746
100,64,0.8072,0.485
100,32,0.8056,0.4984
100,32,0.832,0.4857
100,32,0.8336,0.4531
100,32,0.844,0.4222
100,32,0.8336,0.4187
100,32,0.8416,0.4536
100,32,0.8464,0.4671
100,32,0.812,0.4653
20,32,0.832,0.4667
20,32,0.82,0.4763
20,32,0.8328,0.4425
10,16,0.4968,2.7124
7,16,0.6864,1.0132
7,16,0.7856,0.5623
15,16,0.808,0.5666
20,16,0.8144,0.6935
20,16,0.796,0.7553
20,16,0.8024,0.7705
20,16,0.8208,0.5092
20,16,0.8064,0.5967
20,16,0.788,0.697
20,16,0.7912,0.6824
10,16,0.8136,0.4987
12,16,0.8056,0.494
12,16,0.6912,0.7626
30,16,0.7544,0.6151
30,16,0.8344,0.5547
30,16,0.8408,0.489
30,32,0.7984,0.5579
30,16,0.8264,0.8126
20,16,0.8064,0.5113
5,16,0.7448,0.6784
20,16,0.8056,0.5602
10,16,0.2464,5.0515
10,16,0.2232,8.1675
10,16,0.7032,0.5242
9,16,0.8008,0.527
15,16,0.7912,0.4506
15,32,0.6816,0.7019
15,32,0.7768,0.4633
15,32,0.8136,0.8114
20,16,0.8032,0.5927
50,16,0.788,0.4076
50,32,0.7912,0.4171
50,32,0.7888,0.428
50,16,0.7816,0.4115
50,16,0.788,0.4186
50,16,0.7176,0.4937
50,16,0.6272,0.61
50,16,0.8224,0.4801
50,16,0.8336,0.4836
50,16,0.8368,0.4412
50,16,0.8424,0.4819
50,64,0.8496,0.4237
50,128,0.8592,0.4347
50,256,0.8232,0.4463
50,128,0.8432,0.4324
50,64,0.8512,0.4789
50,64,0.864,0.3871
50,64,0.8456,0.4659
50,64,0.8624,0.3863
50,64,0.8512,0.4859
50,64,0.856,0.4271
50,64,0.8256,0.4808
50,64,0.8344,0.5084
50,256,0.8616,0.4304
50,512,0.2192,1.5601
50,16,0.7984,0.5129
50,64,0.8624,0.427
50,64,0.8384,0.4368
50,64,0.8608,0.4003
